rank,song_id,title,artist_name,genre,total_plays,unique_users,avg_plays,popularity_level
1,SOBONKR12A58A7A7E0,Song_58A7A7E0,Artist_SOBONKR1,Hip-Hop,578993,67286,8.604954968344083,Hit
2,SOAUWYT12A81C206F1,Song_81C206F1,Artist_SOAUWYT1,Hip-Hop,518360,72395,7.160162994681953,Hit
3,SOSXLTC12AF72A7F54,Song_F72A7F54,Artist_SOSXLTC1,Hip-Hop,424078,64640,6.560612623762376,Hit
4,SOFRQTD12A81C233C0,Song_81C233C0,Artist_SOFRQTD1,Hip-Hop,340229,88326,3.8519688426963747,Hit
5,SOEGIYH12A6D4FC0E3,Song_6D4FC0E3,Artist_SOEGIYH1,Hip-Hop,311546,55603,5.60304300127691,Hit
6,SOAXGDH12A8C13F8A1,Song_8C13F8A1,Artist_SOAXGDH1,Hip-Hop,284943,72273,3.9425926694616247,Hit
7,SONYKOW12AB01849C9,Song_B01849C9,Artist_SONYKOW1,Hip-Hop,232816,62563,3.721304924635967,Hit
8,SOPUCYA12A8C13A694,Song_8C13A694,Artist_SOPUCYA1,Blues,219069,37017,5.918064672988087,Hit
9,SOUFTBI12AB0183F65,Song_B0183F65,Artist_SOUFTBI1,Blues,214794,30157,7.122525450144245,Hit
10,SOVDSJC12A58A7A271,Song_58A7A271,Artist_SOVDSJC1,Blues,197326,29663,6.65226039173381,Hit
11,SOOFYTN12A6D4F9B35,Song_6D4F9B35,Artist_SOOFYTN1,Blues,194595,32334,6.018277973650028,Hit
12,SOHTKMO12AB01843B0,Song_B01843B0,Artist_SOHTKMO1,Blues,189962,36931,5.143700414286101,Hit
13,SOBOUPA12A6D4F81F1,Song_6D4F81F1,Artist_SOBOUPA1,Blues,182860,32911,5.556197016195193,Hit
14,SODJWHY12A8C142CCE,Song_8C142CCE,Artist_SODJWHY1,Hip-Hop,167680,51151,3.2781372798185764,Hit
15,SOLFXKT12AB017E3E0,Song_B017E3E0,Artist_SOLFXKT1,Hip-Hop,157865,51564,3.0615351795826546,Hit
16,SOTCMDJ12A6D4F8528,Song_6D4F8528,Artist_SOTCMDJ1,Blues,154417,25541,6.0458478524724955,Hit
17,SOFLJQZ12A6D4FADA6,Song_6D4FADA6,Artist_SOFLJQZ1,Blues,148347,46806,3.1694013588001537,Hit
18,SOTWNDJ12A8C143984,Song_8C143984,Artist_SOTWNDJ1,Blues,138858,37664,3.6867565845369583,Hit
19,SOUNZHU12A8AE47481,Song_8AE47481,Artist_SOUNZHU1,Blues,125175,24655,5.077063475968363,Hit
20,SOUSMXX12AB0185C24,Song_B0185C24,Artist_SOUSMXX1,Blues,124840,42623,2.9289350819979822,Hit
21,SOUVTSM12AC468F6A7,Song_C468F6A7,Artist_SOUVTSM1,Blues,124407,40843,3.045980951448229,Hit
22,SOUDLVN12AAFF43658,Song_AFF43658,Artist_SOUDLVN1,Blues,119402,15933,7.494006150756292,Hit
23,SOWCKVR12A8C142411,Song_8C142411,Artist_SOWCKVR1,Blues,116105,41645,2.787969744267019,Hit
24,SOPSOHT12A67AE0235,Song_67AE0235,Artist_SOPSOHT1,Blues,103743,17973,5.772158237356034,Hit
25,SOKLRPJ12A8C13C3FE,Song_8C13C3FE,Artist_SOKLRPJ1,Blues,103336,36438,2.8359405016740764,Hit
26,SORJICW12A8C13640D,Song_8C13640D,Artist_SORJICW1,Blues,102728,16286,6.307748986859879,Hit
27,SOWEHOM12A6BD4E09E,Song_6BD4E09E,Artist_SOWEHOM1,Blues,102654,20241,5.071587372165407,Hit
28,SOBOAFP12A8C131F36,Song_8C131F36,Artist_SOBOAFP1,Blues,102442,31977,3.2036150983519405,Hit
29,SOPPROJ12AB0184E18,Song_B0184E18,Artist_SOPPROJ1,Blues,99835,33501,2.980060296707561,Hit
30,SOPTLQL12AB018D56F,Song_B018D56F,Artist_SOPTLQL1,Blues,97695,32292,3.0253623188405796,Hit
31,SOLGLUC12AB018A8FA,Song_B018A8FA,Artist_SOLGLUC1,Blues,93404,16659,5.60681913680293,Hit
32,SOMGVYU12A8C1314FF,Song_8C1314FF,Artist_SOMGVYU1,Blues,92419,17801,5.191786978259648,Hit
33,SONQCXC12A6D4F6A37,Song_6D4F6A37,Artist_SONQCXC1,Blues,92015,19827,4.640893730771171,Hit
34,SOCVTLJ12A6310F0FD,Song_6310F0FD,Artist_SOCVTLJ1,Blues,91435,34148,2.677609230408809,Hit
35,SOIZFTE12AB0186842,Song_B0186842,Artist_SOIZFTE1,Blues,90254,14397,6.268944919080364,Hit
36,SOSCIZP12AB0181D2F,Song_B0181D2F,Artist_SOSCIZP1,Blues,89933,31637,2.842652590321459,Hit
37,SOUNJIO12AB0181339,Song_B0181339,Artist_SOUNJIO1,Blues,89484,19630,4.558532857870606,Hit
38,SODGVGW12AC9075A8D,Song_C9075A8D,Artist_SODGVGW1,Blues,88342,29340,3.010974778459441,Hit
39,SOPXKYD12A6D4FA876,Song_6D4FA876,Artist_SOPXKYD1,Blues,88127,31064,2.8369495235642543,Hit
40,SOLRGVL12A8C143BC3,Song_8C143BC3,Artist_SOLRGVL1,Blues,87861,31121,2.823206195173677,Hit
41,SOZVVRE12A8C143150,Song_8C143150,Artist_SOZVVRE1,Blues,87016,14204,6.126161644607153,Hit
42,SOFKABN12A8AE476C6,Song_8AE476C6,Artist_SOFKABN1,Blues,84471,30754,2.7466671002146064,Hit
43,SOKUPAO12AB018D576,Song_B018D576,Artist_SOKUPAO1,Blues,82594,28298,2.918722171178175,Hit
44,SOLGPOU12A58A7EA20,Song_58A7EA20,Artist_SOLGPOU1,Blues,82439,14780,5.577740189445196,Hit
45,SOMCAFM12A58A7B024,Song_58A7B024,Artist_SOMCAFM1,Blues,81722,15870,5.149464398235665,Hit
46,SOBFRNE12A6D4F7995,Song_6D4F7995,Artist_SOBFRNE1,Blues,79244,14574,5.43735419239742,Hit
47,SOXLOQG12AF72A2D55,Song_F72A2D55,Artist_SOXLOQG1,Blues,78877,17198,4.586405395976277,Hit
48,SOPQLBY12A6310E992,Song_6310E992,Artist_SOPQLBY1,Blues,78787,29407,2.6791920291087155,Hit
49,SOSJRJP12A6D4F826F,Song_6D4F826F,Artist_SOSJRJP1,Blues,78412,17086,4.589254360294978,Hit
50,SOTVLQY12A58A798C2,Song_58A798C2,Artist_SOTVLQY1,Blues,78085,20744,3.764220979560355,Hit
51,SOZCDWG12A6D4F81E1,Song_6D4F81E1,Artist_SOZCDWG1,Blues,78063,15842,4.927597525564954,Hit
52,SOXFPND12AB017C9D1,Song_B017C9D1,Artist_SOXFPND1,Blues,77825,27784,2.8010725597466166,Hit
53,SOCKSGZ12A58A7CA4B,Song_58A7CA4B,Artist_SOCKSGZ1,Blues,77331,27106,2.8529107946580092,Hit
54,SOLLNTU12A6701CFDC,Song_6701CFDC,Artist_SOLLNTU1,Blues,76746,23654,3.244525238860235,Hit
55,SODCNJX12A6D4F93CB,Song_6D4F93CB,Artist_SODCNJX1,Blues,75602,16258,4.650141468815352,Hit
56,SOXWYZP12AF72A42A6,Song_F72A42A6,Artist_SOXWYZP1,Blues,75480,22722,3.321890678637444,Hit
57,SOHFJAQ12AB017E4AF,Song_B017E4AF,Artist_SOHFJAQ1,Blues,75445,17136,4.402719421101774,Hit
58,SOMGIYR12AB0187973,Song_B0187973,Artist_SOMGIYR1,Blues,73192,14941,4.898735024429422,Hit
59,SOADJQJ12A8C141D38,Song_8C141D38,Artist_SOADJQJ1,Blues,72972,23997,3.040880110013752,Hit
60,SONIQRE12AF72A2B02,Song_F72A2B02,Artist_SONIQRE1,Blues,72840,21780,3.3443526170798896,Hit
61,SOQCGHN12AB0181246,Song_B0181246,Artist_SOQCGHN1,Blues,71257,13946,5.109493761652087,Hit
62,SOQZYQH12A8AE468E5,Song_8AE468E5,Artist_SOQZYQH1,Blues,71234,13152,5.416210462287105,Hit
63,SOTWSXL12A8C143349,Song_8C143349,Artist_SOTWSXL1,Blues,71180,24841,2.8654240972585643,Hit
64,SOUFPNI12A8C142D19,Song_8C142D19,Artist_SOUFPNI1,Blues,70507,24617,2.8641589145712314,Hit
65,SOULTKQ12AB018A183,Song_B018A183,Artist_SOULTKQ1,Blues,70258,24151,2.909113494265248,Hit
66,SOANQFY12AB0183239,Song_B0183239,Artist_SOANQFY1,Blues,68781,22864,3.0082662701189644,Hit
67,SONNSYV12A8C146BEC,Song_8C146BEC,Artist_SONNSYV1,Blues,68490,22700,3.017180616740088,Hit
68,SOWEJXA12A6701C574,Song_6701C574,Artist_SOWEJXA1,Blues,67804,24192,2.802744708994709,Hit
69,SOBRHVR12A8C133F35,Song_8C133F35,Artist_SOBRHVR1,Blues,67194,12097,5.55460031412747,Hit
70,SOGPBAW12A6D4F9F22,Song_6D4F9F22,Artist_SOGPBAW1,Blues,67100,25414,2.640277012670182,Hit
71,SOPAYPV12AB017DB0C,Song_B017DB0C,Artist_SOPAYPV1,Blues,66982,20953,3.1967737316852003,Hit
72,SOSZJFV12AB01878CB,Song_B01878CB,Artist_SOSZJFV1,Blues,65906,21916,3.007209344770944,Hit
73,SOVDLZN12AB0185BEA,Song_B0185BEA,Artist_SOVDLZN1,Blues,65857,20046,3.28529382420433,Hit
74,SOLWZVR12AB01849C6,Song_B01849C6,Artist_SOLWZVR1,Blues,65482,20880,3.136111111111111,Hit
75,SODGJKH12AAA8C9487,Song_AA8C9487,Artist_SODGJKH1,Blues,64113,21303,3.0095761160399945,Hit
