rank,song_id,title,artist_name,genre,unique_users,total_plays,avg_plays,popularity_level
1,SOFRQTD12A81C233C0,Song_81C233C0,Artist_SOFRQTD1,Hip-Hop,88326,340229,3.8519688426963747,Hit
2,SOAUWYT12A81C206F1,Song_81C206F1,Artist_SOAUWYT1,Hip-Hop,72395,518360,7.160162994681953,Hit
3,SOAXGDH12A8C13F8A1,Song_8C13F8A1,Artist_SOAXGDH1,Hip-Hop,72273,284943,3.9425926694616247,Hit
4,SOBONKR12A58A7A7E0,Song_58A7A7E0,Artist_SOBONKR1,Hip-Hop,67286,578993,8.604954968344083,Hit
5,SOSXLTC12AF72A7F54,Song_F72A7F54,Artist_SOSXLTC1,Hip-Hop,64640,424078,6.560612623762376,Hit
6,SONYKOW12AB01849C9,Song_B01849C9,Artist_SONYKOW1,Hip-Hop,62563,232816,3.721304924635967,Hit
7,SOEGIYH12A6D4FC0E3,Song_6D4FC0E3,Artist_SOEGIYH1,Hip-Hop,55603,311546,5.60304300127691,Hit
8,SOLFXKT12AB017E3E0,Song_B017E3E0,Artist_SOLFXKT1,Hip-Hop,51564,157865,3.0615351795826546,Hit
9,SODJWHY12A8C142CCE,Song_8C142CCE,Artist_SODJWHY1,Hip-Hop,51151,167680,3.2781372798185764,Hit
10,SOFLJQZ12A6D4FADA6,Song_6D4FADA6,Artist_SOFLJQZ1,Blues,46806,148347,3.1694013588001537,Hit
11,SOUSMXX12AB0185C24,Song_B0185C24,Artist_SOUSMXX1,Blues,42623,124840,2.9289350819979822,Hit
12,SOWCKVR12A8C142411,Song_8C142411,Artist_SOWCKVR1,Blues,41645,116105,2.787969744267019,Hit
13,SOUVTSM12AC468F6A7,Song_C468F6A7,Artist_SOUVTSM1,Blues,40843,124407,3.045980951448229,Hit
14,SOTWNDJ12A8C143984,Song_8C143984,Artist_SOTWNDJ1,Blues,37664,138858,3.6867565845369583,Hit
15,SOPUCYA12A8C13A694,Song_8C13A694,Artist_SOPUCYA1,Blues,37017,219069,5.918064672988087,Hit
16,SOHTKMO12AB01843B0,Song_B01843B0,Artist_SOHTKMO1,Blues,36931,189962,5.143700414286101,Hit
17,SOKLRPJ12A8C13C3FE,Song_8C13C3FE,Artist_SOKLRPJ1,Blues,36438,103336,2.8359405016740764,Hit
18,SOCVTLJ12A6310F0FD,Song_6310F0FD,Artist_SOCVTLJ1,Blues,34148,91435,2.677609230408809,Hit
19,SOPPROJ12AB0184E18,Song_B0184E18,Artist_SOPPROJ1,Blues,33501,99835,2.980060296707561,Hit
20,SOBOUPA12A6D4F81F1,Song_6D4F81F1,Artist_SOBOUPA1,Blues,32911,182860,5.556197016195193,Hit
21,SOOFYTN12A6D4F9B35,Song_6D4F9B35,Artist_SOOFYTN1,Blues,32334,194595,6.018277973650028,Hit
22,SOPTLQL12AB018D56F,Song_B018D56F,Artist_SOPTLQL1,Blues,32292,97695,3.0253623188405796,Hit
23,SOBOAFP12A8C131F36,Song_8C131F36,Artist_SOBOAFP1,Blues,31977,102442,3.2036150983519405,Hit
24,SOSCIZP12AB0181D2F,Song_B0181D2F,Artist_SOSCIZP1,Blues,31637,89933,2.842652590321459,Hit
25,SOLRGVL12A8C143BC3,Song_8C143BC3,Artist_SOLRGVL1,Blues,31121,87861,2.823206195173677,Hit
26,SOPXKYD12A6D4FA876,Song_6D4FA876,Artist_SOPXKYD1,Blues,31064,88127,2.8369495235642543,Hit
27,SOFKABN12A8AE476C6,Song_8AE476C6,Artist_SOFKABN1,Blues,30754,84471,2.7466671002146064,Hit
28,SOUFTBI12AB0183F65,Song_B0183F65,Artist_SOUFTBI1,Blues,30157,214794,7.122525450144245,Hit
29,SOVDSJC12A58A7A271,Song_58A7A271,Artist_SOVDSJC1,Blues,29663,197326,6.65226039173381,Hit
30,SOPQLBY12A6310E992,Song_6310E992,Artist_SOPQLBY1,Blues,29407,78787,2.6791920291087155,Hit
31,SODGVGW12AC9075A8D,Song_C9075A8D,Artist_SODGVGW1,Blues,29340,88342,3.010974778459441,Hit
32,SOKUPAO12AB018D576,Song_B018D576,Artist_SOKUPAO1,Blues,28298,82594,2.918722171178175,Hit
33,SOXFPND12AB017C9D1,Song_B017C9D1,Artist_SOXFPND1,Blues,27784,77825,2.8010725597466166,Hit
34,SOCKSGZ12A58A7CA4B,Song_58A7CA4B,Artist_SOCKSGZ1,Blues,27106,77331,2.8529107946580092,Hit
35,SOTCMDJ12A6D4F8528,Song_6D4F8528,Artist_SOTCMDJ1,Blues,25541,154417,6.0458478524724955,Hit
36,SOGPBAW12A6D4F9F22,Song_6D4F9F22,Artist_SOGPBAW1,Blues,25414,67100,2.640277012670182,Hit
37,SOTWSXL12A8C143349,Song_8C143349,Artist_SOTWSXL1,Blues,24841,71180,2.8654240972585643,Hit
38,SOUNZHU12A8AE47481,Song_8AE47481,Artist_SOUNZHU1,Blues,24655,125175,5.077063475968363,Hit
39,SOUFPNI12A8C142D19,Song_8C142D19,Artist_SOUFPNI1,Blues,24617,70507,2.8641589145712314,Hit
40,SOWEJXA12A6701C574,Song_6701C574,Artist_SOWEJXA1,Blues,24192,67804,2.802744708994709,Hit
41,SOULTKQ12AB018A183,Song_B018A183,Artist_SOULTKQ1,Blues,24151,70258,2.909113494265248,Hit
42,SOADJQJ12A8C141D38,Song_8C141D38,Artist_SOADJQJ1,Blues,23997,72972,3.040880110013752,Hit
43,SOZVCRW12A67ADA0B7,Song_67ADA0B7,Artist_SOZVCRW1,Blues,23736,63706,2.6839400067408157,Hit
44,SOVWADY12AB0189C63,Song_B0189C63,Artist_SOVWADY1,Blues,23735,62749,2.6437328839266905,Hit
45,SOLLNTU12A6701CFDC,Song_6701CFDC,Artist_SOLLNTU1,Blues,23654,76746,3.244525238860235,Hit
46,SOLRGNF12AB0187CF4,Song_B0187CF4,Artist_SOLRGNF1,Blues,22969,58097,2.529365666768253,Hit
47,SOANQFY12AB0183239,Song_B0183239,Artist_SOANQFY1,Blues,22864,68781,3.0082662701189644,Hit
48,SOXWYZP12AF72A42A6,Song_F72A42A6,Artist_SOXWYZP1,Blues,22722,75480,3.321890678637444,Hit
49,SONNSYV12A8C146BEC,Song_8C146BEC,Artist_SONNSYV1,Blues,22700,68490,3.017180616740088,Hit
50,SOIZLKI12A6D4F7B61,Song_6D4F7B61,Artist_SOIZLKI1,Blues,22612,60719,2.6852556164868213,Hit
51,SONHVVE12AB018D038,Song_B018D038,Artist_SONHVVE1,Blues,21943,58092,2.647404639292713,Hit
52,SOSZJFV12AB01878CB,Song_B01878CB,Artist_SOSZJFV1,Blues,21916,65906,3.007209344770944,Hit
53,SONIQRE12AF72A2B02,Song_F72A2B02,Artist_SONIQRE1,Blues,21780,72840,3.3443526170798896,Hit
54,SONOYIB12A81C1F88C,Song_81C1F88C,Artist_SONOYIB1,Blues,21565,54994,2.5501507071643865,Hit
55,SOXQYSC12A6310E908,Song_6310E908,Artist_SOXQYSC1,Blues,21354,61572,2.8833942118572633,Hit
56,SODGJKH12AAA8C9487,Song_AA8C9487,Artist_SODGJKH1,Blues,21303,64113,3.0095761160399945,Hit
57,SOPAYPV12AB017DB0C,Song_B017DB0C,Artist_SOPAYPV1,Blues,20953,66982,3.1967737316852003,Hit
58,SOLWZVR12AB01849C6,Song_B01849C6,Artist_SOLWZVR1,Blues,20880,65482,3.136111111111111,Hit
59,SOTVLQY12A58A798C2,Song_58A798C2,Artist_SOTVLQY1,Blues,20744,78085,3.764220979560355,Hit
60,SOAUFOF12AB0180C65,Song_B0180C65,Artist_SOAUFOF1,Blues,20574,56094,2.726450860309128,Hit
61,SOXPFLM12A8AE48C50,Song_8AE48C50,Artist_SOXPFLM1,Blues,20354,56237,2.7629458583079494,Hit
62,SOWEHOM12A6BD4E09E,Song_6BD4E09E,Artist_SOWEHOM1,Blues,20241,102654,5.071587372165407,Hit
63,SOHYSXA12AB0186704,Song_B0186704,Artist_SOHYSXA1,Blues,20052,59604,2.9724715739078396,Hit
64,SOVDLZN12AB0185BEA,Song_B0185BEA,Artist_SOVDLZN1,Blues,20046,65857,3.28529382420433,Hit
