genre,song_count,total_plays,avg_plays,unique_users,unique_songs,avg_plays_per_song,percentage
Jazz,109659,30242512,2.412360726455911,960909,109659,275.78686655906034,35.29
Classical,2941,28649926,2.935409251921571,958789,2941,9741.559333560013,0.95
Folk,44606,19510271,3.590335525168068,890153,44606,437.39118055866925,14.36
Blues,149,10265820,3.4722224101285413,657546,149,68898.12080536912,0.05
Rock,136776,9057387,1.5936654110731523,710394,136776,66.22058694507808,44.02
Pop,13366,8200123,5.645834538218972,590479,13366,613.5061349693251,4.3
Hip-Hop,9,3016510,5.149376665454651,290104,9,335167.77777777775,0.0
R&B,2745,1550138,8.792614861032332,146171,2745,564.7132969034608,0.88
Electronic,423,177510,13.584602433611387,12813,423,419.64539007092196,0.14
Country,51,74004,14.567716535433071,5060,51,1451.0588235294117,0.02
