rank,artist_name,num_songs,total_plays,unique_listeners,avg_plays_per_song
1,Artist_SOBONKR1,1,578993,67286,578993.0
2,Artist_SOAUWYT1,1,518360,72395,518360.0
3,Artist_SOSXLTC1,1,424078,64640,424078.0
4,Artist_SOFRQTD1,1,340229,88326,340229.0
5,Artist_SOEGIYH1,1,311546,55603,311546.0
6,Artist_SOAXGDH1,1,284943,72273,284943.0
7,Artist_SONYKOW1,1,232816,62563,232816.0
8,Artist_SOPUCYA1,1,219069,37017,219069.0
9,Artist_SOUFTBI1,1,214794,30157,214794.0
10,Artist_SOVDSJC1,1,197326,29663,197326.0
11,Artist_SOOFYTN1,2,194759,32424,97379.5
12,Artist_SOHTKMO1,1,189962,36931,189962.0
13,Artist_SOBOUPA1,1,182860,32911,182860.0
14,Artist_SODJWHY1,1,167680,51151,167680.0
15,Artist_SOLFXKT1,1,157865,51564,157865.0
16,Artist_SOTCMDJ1,1,154417,25541,154417.0
17,Artist_SOFLJQZ1,1,148347,46806,148347.0
18,Artist_SOTWNDJ1,1,138858,37664,138858.0
19,Artist_SOUNZHU1,1,125175,24655,125175.0
20,Artist_SOUSMXX1,1,124840,42623,124840.0
21,Artist_SOUVTSM1,1,124407,40843,124407.0
22,Artist_SOUDLVN1,1,119402,15933,119402.0
23,Artist_SOWCKVR1,1,116105,41645,116105.0
24,Artist_SORJICW1,2,104360,16679,52180.0
25,Artist_SOPSOHT1,1,103743,17973,103743.0
26,Artist_SOKLRPJ1,1,103336,36438,103336.0
27,Artist_SOWEHOM1,1,102654,20241,102654.0
28,Artist_SOBOAFP1,1,102442,31977,102442.0
29,Artist_SOPPROJ1,1,99835,33501,99835.0
30,Artist_SOPTLQL1,1,97695,32292,97695.0
31,Artist_SOLGLUC1,1,93404,16659,93404.0
32,Artist_SOMGVYU1,1,92419,17801,92419.0
33,Artist_SONQCXC1,1,92015,19827,92015.0
34,Artist_SOCVTLJ1,1,91435,34148,91435.0
35,Artist_SOIZFTE1,1,90254,14397,90254.0
36,Artist_SOSCIZP1,1,89933,31637,89933.0
37,Artist_SOUNJIO1,1,89484,19630,89484.0
38,Artist_SODGVGW1,1,88342,29340,88342.0
39,Artist_SOPXKYD1,2,88224,31112,44112.0
40,Artist_SOLRGVL1,1,87861,31121,87861.0
41,Artist_SOZVVRE1,1,87016,14204,87016.0
42,Artist_SOFKABN1,1,84471,30754,84471.0
43,Artist_SOKUPAO1,1,82594,28298,82594.0
44,Artist_SOLGPOU1,1,82439,14780,82439.0
45,Artist_SOMCAFM1,1,81722,15870,81722.0
46,Artist_SOBFRNE1,1,79244,14574,79244.0
47,Artist_SOXLOQG1,1,78877,17198,78877.0
48,Artist_SOPQLBY1,1,78787,29407,78787.0
49,Artist_SOSJRJP1,1,78412,17086,78412.0
50,Artist_SOTVLQY1,1,78085,20744,78085.0
